"country","series","Unit","Date","Value"
"Australia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",28.4
"Brunei","Prevalence of obesity, male (% of male population ages 18+)","%","2014",16.2
"China","Prevalence of obesity, male (% of male population ages 18+)","%","2014",5.9
"Fiji","Prevalence of obesity, male (% of male population ages 18+)","%","2014",30.8
"Micronesia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",31
"Indonesia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.5
"Japan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.4
"Cambodia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.7
"Kiribati","Prevalence of obesity, male (% of male population ages 18+)","%","2014",32.9
"Korea","Prevalence of obesity, male (% of male population ages 18+)","%","2014",4.8
"Lao PDR","Prevalence of obesity, male (% of male population ages 18+)","%","2014",2.1
"Marshall Islands","Prevalence of obesity, male (% of male population ages 18+)","%","2014",36.9
"Myanmar","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.4
"Mongolia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",14.6
"Malaysia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",10.6
"Nauru","Prevalence of obesity, male (% of male population ages 18+)","%","2014",39.7
"New Zealand","Prevalence of obesity, male (% of male population ages 18+)","%","2014",27.7
"Philippines","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.6
"Palau","Prevalence of obesity, male (% of male population ages 18+)","%","2014",43.1
"Papua New Guinea","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.6
"Dem. People's Rep. Korea","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.6
"Singapore","Prevalence of obesity, male (% of male population ages 18+)","%","2014",5.7
"Solomon Islands","Prevalence of obesity, male (% of male population ages 18+)","%","2014",21.8
"Thailand","Prevalence of obesity, male (% of male population ages 18+)","%","2014",5.7
"Timor-Leste","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.2
"Tonga","Prevalence of obesity, male (% of male population ages 18+)","%","2014",36.4
"Tuvalu","Prevalence of obesity, male (% of male population ages 18+)","%","2014",34.5
"Vietnam","Prevalence of obesity, male (% of male population ages 18+)","%","2014",2.3
"Vanuatu","Prevalence of obesity, male (% of male population ages 18+)","%","2014",29.4
"Samoa","Prevalence of obesity, male (% of male population ages 18+)","%","2014",36
"Andorra","Prevalence of obesity, male (% of male population ages 18+)","%","2014",28.5
"Albania","Prevalence of obesity, male (% of male population ages 18+)","%","2014",16.5
"Armenia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",17.2
"Austria","Prevalence of obesity, male (% of male population ages 18+)","%","2014",20.5
"Azerbaijan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",19
"Belgium","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.3
"Bulgaria","Prevalence of obesity, male (% of male population ages 18+)","%","2014",21.8
"Bosnia and Herzegovina","Prevalence of obesity, male (% of male population ages 18+)","%","2014",16.3
"Belarus","Prevalence of obesity, male (% of male population ages 18+)","%","2014",21
"Switzerland","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.3
"Cyprus","Prevalence of obesity, male (% of male population ages 18+)","%","2014",21.9
"Czech Republic","Prevalence of obesity, male (% of male population ages 18+)","%","2014",26.2
"Germany","Prevalence of obesity, male (% of male population ages 18+)","%","2014",21.9
"Denmark","Prevalence of obesity, male (% of male population ages 18+)","%","2014",21.7
"Spain","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.8
"Estonia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.2
"Finland","Prevalence of obesity, male (% of male population ages 18+)","%","2014",21.6
"France","Prevalence of obesity, male (% of male population ages 18+)","%","2014",23.8
"United Kingdom","Prevalence of obesity, male (% of male population ages 18+)","%","2014",26.9
"Georgia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",17.2
"Greece","Prevalence of obesity, male (% of male population ages 18+)","%","2014",21.9
"Croatia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.5
"Hungary","Prevalence of obesity, male (% of male population ages 18+)","%","2014",24
"Ireland","Prevalence of obesity, male (% of male population ages 18+)","%","2014",25.9
"Iceland","Prevalence of obesity, male (% of male population ages 18+)","%","2014",24.1
"Italy","Prevalence of obesity, male (% of male population ages 18+)","%","2014",20.4
"Kazakhstan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",21.6
"Kyrgyz Republic","Prevalence of obesity, male (% of male population ages 18+)","%","2014",11.5
"Lithuania","Prevalence of obesity, male (% of male population ages 18+)","%","2014",23.1
"Luxembourg","Prevalence of obesity, male (% of male population ages 18+)","%","2014",26.6
"Latvia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22
"Moldova","Prevalence of obesity, male (% of male population ages 18+)","%","2014",11.4
"Macedonia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",18.3
"Montenegro","Prevalence of obesity, male (% of male population ages 18+)","%","2014",19.3
"Netherlands","Prevalence of obesity, male (% of male population ages 18+)","%","2014",21.4
"Norway","Prevalence of obesity, male (% of male population ages 18+)","%","2014",24.6
"Poland","Prevalence of obesity, male (% of male population ages 18+)","%","2014",23.5
"Portugal","Prevalence of obesity, male (% of male population ages 18+)","%","2014",19.8
"Romania","Prevalence of obesity, male (% of male population ages 18+)","%","2014",20.5
"Russia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",20.3
"Serbia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",18.6
"Slovak Republic","Prevalence of obesity, male (% of male population ages 18+)","%","2014",24.6
"Slovenia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",24.6
"Sweden","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.5
"Tajikistan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",9.9
"Turkmenistan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",17.1
"Turkey","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.9
"Ukraine","Prevalence of obesity, male (% of male population ages 18+)","%","2014",17.1
"Uzbekistan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",12.1
"Argentina","Prevalence of obesity, male (% of male population ages 18+)","%","2014",23.6
"Antigua and Barbuda","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.8
"The Bahamas","Prevalence of obesity, male (% of male population ages 18+)","%","2014",29.7
"Belize","Prevalence of obesity, male (% of male population ages 18+)","%","2014",16.1
"Bolivia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",12.1
"Brazil","Prevalence of obesity, male (% of male population ages 18+)","%","2014",17.3
"Barbados","Prevalence of obesity, male (% of male population ages 18+)","%","2014",24.4
"Chile","Prevalence of obesity, male (% of male population ages 18+)","%","2014",23.3
"Colombia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",16.1
"Costa Rica","Prevalence of obesity, male (% of male population ages 18+)","%","2014",19.2
"Cuba","Prevalence of obesity, male (% of male population ages 18+)","%","2014",19
"Dominica","Prevalence of obesity, male (% of male population ages 18+)","%","2014",18.5
"Dominican Republic","Prevalence of obesity, male (% of male population ages 18+)","%","2014",18.2
"Ecuador","Prevalence of obesity, male (% of male population ages 18+)","%","2014",14.4
"Grenada","Prevalence of obesity, male (% of male population ages 18+)","%","2014",18.1
"Guatemala","Prevalence of obesity, male (% of male population ages 18+)","%","2014",13
"Guyana","Prevalence of obesity, male (% of male population ages 18+)","%","2014",14.4
"Honduras","Prevalence of obesity, male (% of male population ages 18+)","%","2014",12.4
"Haiti","Prevalence of obesity, male (% of male population ages 18+)","%","2014",7.2
"Jamaica","Prevalence of obesity, male (% of male population ages 18+)","%","2014",18.4
"St. Kitts and Nevis","Prevalence of obesity, male (% of male population ages 18+)","%","2014",21.2
"St. Lucia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",19.7
"Mexico","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.8
"Nicaragua","Prevalence of obesity, male (% of male population ages 18+)","%","2014",10.8
"Panama","Prevalence of obesity, male (% of male population ages 18+)","%","2014",20.6
"Peru","Prevalence of obesity, male (% of male population ages 18+)","%","2014",15.8
"Paraguay","Prevalence of obesity, male (% of male population ages 18+)","%","2014",13.1
"El Salvador","Prevalence of obesity, male (% of male population ages 18+)","%","2014",15.9
"Suriname","Prevalence of obesity, male (% of male population ages 18+)","%","2014",19.4
"Trinidad and Tobago","Prevalence of obesity, male (% of male population ages 18+)","%","2014",24.1
"Uruguay","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.5
"St. Vincent and the Grenadines","Prevalence of obesity, male (% of male population ages 18+)","%","2014",17.9
"Venezuela","Prevalence of obesity, male (% of male population ages 18+)","%","2014",20.3
"United Arab Emirates","Prevalence of obesity, male (% of male population ages 18+)","%","2014",33.8
"Bahrain","Prevalence of obesity, male (% of male population ages 18+)","%","2014",30.5
"Djibouti","Prevalence of obesity, male (% of male population ages 18+)","%","2014",5.6
"Algeria","Prevalence of obesity, male (% of male population ages 18+)","%","2014",18.8
"Egypt","Prevalence of obesity, male (% of male population ages 18+)","%","2014",20.3
"Iran","Prevalence of obesity, male (% of male population ages 18+)","%","2014",20.1
"Iraq","Prevalence of obesity, male (% of male population ages 18+)","%","2014",17.2
"Israel","Prevalence of obesity, male (% of male population ages 18+)","%","2014",23.5
"Jordan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",22.7
"Kuwait","Prevalence of obesity, male (% of male population ages 18+)","%","2014",35.5
"Lebanon","Prevalence of obesity, male (% of male population ages 18+)","%","2014",26.3
"Libya","Prevalence of obesity, male (% of male population ages 18+)","%","2014",26.6
"Morocco","Prevalence of obesity, male (% of male population ages 18+)","%","2014",16.2
"Malta","Prevalence of obesity, male (% of male population ages 18+)","%","2014",24.6
"Oman","Prevalence of obesity, male (% of male population ages 18+)","%","2014",27.2
"Qatar","Prevalence of obesity, male (% of male population ages 18+)","%","2014",40
"Saudi Arabia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",29.9
"Syrian Arab Republic","Prevalence of obesity, male (% of male population ages 18+)","%","2014",17.4
"Tunisia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",20.3
"Yemen","Prevalence of obesity, male (% of male population ages 18+)","%","2014",11.1
"Canada","Prevalence of obesity, male (% of male population ages 18+)","%","2014",26.8
"United States","Prevalence of obesity, male (% of male population ages 18+)","%","2014",32.6
"Afghanistan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.8
"Bangladesh","Prevalence of obesity, male (% of male population ages 18+)","%","2014",2.1
"Bhutan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",4.9
"India","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.2
"Sri Lanka","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.4
"Maldives","Prevalence of obesity, male (% of male population ages 18+)","%","2014",5
"Nepal","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.8
"Pakistan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.7
"Angola","Prevalence of obesity, male (% of male population ages 18+)","%","2014",6
"Burundi","Prevalence of obesity, male (% of male population ages 18+)","%","2014",0.7
"Benin","Prevalence of obesity, male (% of male population ages 18+)","%","2014",4.1
"Burkina Faso","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.2
"Botswana","Prevalence of obesity, male (% of male population ages 18+)","%","2014",12.7
"Central African Republic","Prevalence of obesity, male (% of male population ages 18+)","%","2014",2.2
"Côte d'Ivoire","Prevalence of obesity, male (% of male population ages 18+)","%","2014",4.7
"Cameroon","Prevalence of obesity, male (% of male population ages 18+)","%","2014",5.8
"Congo","Prevalence of obesity, male (% of male population ages 18+)","%","2014",6.4
"Comoros","Prevalence of obesity, male (% of male population ages 18+)","%","2014",2.2
"Cabo Verde","Prevalence of obesity, male (% of male population ages 18+)","%","2014",8.6
"Eritrea","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.4
"Ethiopia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.5
"Gabon","Prevalence of obesity, male (% of male population ages 18+)","%","2014",12.9
"Ghana","Prevalence of obesity, male (% of male population ages 18+)","%","2014",5.4
"Guinea","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.2
"The Gambia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",5.8
"Guinea-Bissau","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.6
"Equatorial Guinea","Prevalence of obesity, male (% of male population ages 18+)","%","2014",12.5
"Kenya","Prevalence of obesity, male (% of male population ages 18+)","%","2014",2.8
"Liberia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",2.7
"Lesotho","Prevalence of obesity, male (% of male population ages 18+)","%","2014",4.1
"Madagascar","Prevalence of obesity, male (% of male population ages 18+)","%","2014",2.2
"Mali","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.8
"Mozambique","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.8
"Mauritania","Prevalence of obesity, male (% of male population ages 18+)","%","2014",5.8
"Mauritius","Prevalence of obesity, male (% of male population ages 18+)","%","2014",11.2
"Malawi","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.6
"Namibia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",9.2
"Niger","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.9
"Nigeria","Prevalence of obesity, male (% of male population ages 18+)","%","2014",5.9
"Rwanda","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.2
"Sudan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",4
"Senegal","Prevalence of obesity, male (% of male population ages 18+)","%","2014",4.8
"Sierra Leone","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.1
"Somalia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",2.1
"South Sudan","Prevalence of obesity, male (% of male population ages 18+)","%","2014",4
"São Tomé and Principe","Prevalence of obesity, male (% of male population ages 18+)","%","2014",6.2
"Swaziland","Prevalence of obesity, male (% of male population ages 18+)","%","2014",7.5
"Seychelles","Prevalence of obesity, male (% of male population ages 18+)","%","2014",17.1
"Chad","Prevalence of obesity, male (% of male population ages 18+)","%","2014",4
"Togo","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3
"Tanzania","Prevalence of obesity, male (% of male population ages 18+)","%","2014",2.8
"Uganda","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.6
"South Africa","Prevalence of obesity, male (% of male population ages 18+)","%","2014",15.7
"Dem. Rep. Congo","Prevalence of obesity, male (% of male population ages 18+)","%","2014",1.6
"Zambia","Prevalence of obesity, male (% of male population ages 18+)","%","2014",3.4
"Zimbabwe","Prevalence of obesity, male (% of male population ages 18+)","%","2014",2.4
